angle (degrees),positron yield / pC,positron yield error / pC
0,2.127281816153693e-06,6.800159007332391e-08
10,2.432200041580417e-06,1.5854301670961924e-07
20,3.2157606769664526e-06,1.5423953815048875e-07
30,3.651207722266748e-06,2.457468943029872e-07
40,4.359201571522689e-06,2.2662446945892776e-07
50,4.331142813418114e-06,3.9171345651757577e-07
60,4.584735937541215e-06,6.182326738020493e-08
70,4.751814104461131e-06,2.2096334810919494e-07
80,4.621883188356463e-06,7.550104778118931e-08
90,4.513347250710072e-06,6.485778190195802e-08
