FWHM/ps, npos/pC, npos_err
20, 3.990500413276608e-05, 7.437539637435259e-07
30, 3.39360108435168e-05, 0.0
40, 2.3770090508527256e-05, 5.626392661046334e-07
50, 1.9711519329923613e-05, 3.0243270088418158e-09
60, 1.6106266119866305e-05, 1.3122826358496985e-06
70, 1.3003699649978268e-05, 3.891312703492244e-07
80, 1.1031406714208981e-05, 2.0037840944108536e-07
90, 9.655287216241425e-06, 3.8789217257807215e-07
100, 7.422509579059933e-06, 4.6471915079700653e-07
110, 7.31279118824709e-06, 1.1039851008225085e-07
120, 6.293371101932857e-06, 2.8495087037586293e-07
