#BLTrackFile noise_measure_Det
#x,y,z,Px,Py,Pz,t,PDGid,EventID,TrackID,ParentID,Weight
-27.119,-4.2574,1420.0,-14.5056,-1.17065,182.529,3.08826,-11,3.7627704e+07,1001.0,1.0,100.0
-32.658,-3.44825,1420.0,-13.8052,-0.732727,137.785,3.08981,-11,3.778528e+07,1001.0,1.0,100.0
-38.0534,-2.50773,1420.0,-14.1829,-0.433964,120.645,3.09146,-11,3.780852e+07,1001.0,1.0,100.0
-36.3535,-4.10426,1420.0,-13.2289,-0.662582,115.961,3.09103,-11,3.781429e+07,1001.0,1.0,100.0
-31.6968,-2.65393,1420.0,-13.1685,-0.587799,134.906,3.08955,-11,3.7940932e+07,1001.0,1.0,100.0
-48.1323,-3.27784,1420.0,-13.4475,-0.51602,86.4187,3.09579,-11,3.801844e+07,1001.0,1.0,100.0
-23.2942,-5.23569,1420.0,-12.7063,-1.80312,182.803,3.08759,-11,3.8075536e+07,1001.0,1.0,100.0
-35.3703,6.34243,1420.0,-12.0184,3.15393,106.321,3.09134,-11,4.121863e+07,1001.0,1.0,100.0
-33.9844,-0.797737,1420.0,-16.0553,1.22236,158.948,3.09008,-11,4.1299556e+07,1001.0,1.0,100.0
-22.3685,-6.79977,1420.0,-15.0571,-1.47914,226.014,3.08748,-11,4.1367708e+07,1001.0,1.0,100.0
-28.2235,-4.3977,1420.0,-13.8418,-0.522631,162.126,3.08864,-11,4.147031e+07,1001.0,1.0,100.0
-35.6499,-9.63495,1420.0,-12.7252,-1.67147,112.275,3.09104,-11,4.149603e+07,1001.0,1.0,100.0
-47.1642,-12.6442,1420.0,-16.5042,-2.75606,112.194,3.09552,-11,4.1549856e+07,1001.0,1.0,100.0
-29.8858,-5.61883,1420.0,-14.4099,-0.787567,159.149,3.08906,-11,4.157607e+07,1001.0,1.0,100.0
-36.7421,-4.81872,1420.0,-13.8722,-0.577052,119.403,3.09131,-11,4.1579572e+07,1001.0,1.0,100.0
-14.2209,-4.26479,1420.0,-14.1221,-0.462546,346.047,3.08621,-11,4.161354e+07,1001.0,1.0,100.0
-23.883,-6.56672,1420.0,-14.3618,-1.98939,204.089,3.0877,-11,4.1696496e+07,1001.0,1.0,100.0
-47.0451,-4.07945,1420.0,-14.1508,-0.482426,94.66,3.09512,-11,4.1882796e+07,1001.0,1.0,100.0
-23.7776,-5.72002,1420.0,-13.3103,-1.5057,185.553,3.08773,-11,4.198769e+07,1001.0,1.0,100.0
-46.9158,1.70065,1420.0,-14.074,1.08209,93.4392,3.09531,-11,4.2093788e+07,1001.0,1.0,100.0
-37.9829,-0.103183,1420.0,-15.131,0.698114,128.619,3.09156,-11,4.224817e+07,1001.0,1.0,100.0
-22.5171,-2.26065,1420.0,-14.1008,-0.0945428,210.646,3.08742,-11,4.2249588e+07,1001.0,1.0,100.0
