f/mm, npos/pC, npos_err
-3.1, 1.3764188058100038e-08, 3.575318795540069e-08
-2, 4.341659104468444e-06, 7.421405213164024e-07
-1, 1.3433791408696267e-05, 4.0217101701313615e-07
0, 3.1167347731793746e-05, 8.673532073139321e-08
1, 5.210638744389788e-05, 3.2113503394868727e-06
1.2, 6.152979300386568e-05, 1.5051775440839336e-06
1.5, 7.292702767423343e-05, 8.871532764169969e-07
1.7, 8.17173643361921e-05, 1.0350323833766125e-07
1.8, 8.634807418515881e-05, 1.210440493196508e-06
1.9, 8.107943796274504e-05, 3.389480395728288e-06
2, 7.951724384724356e-05, 5.596052457088632e-06
2.2, 7.947250451740146e-05, 1.3600709275003102e-06
2.5, 7.275021621861266e-05, 5.638614715351134e-07
3., 5.358314792226211e-05, 1.4298677611651934e-06
