#BLTrackFile Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-3.65726 -0.855595 865 -1.27713 -0.298778 302.062 2.88535 22 1 1 0 1 
5.44612 -1.7646 865 1.89666 -0.614539 301.244 2.88539 22 5 1 0 1 
-1.01146 -0.279967 865 -0.352635 -0.0976078 301.574 2.88533 22 6 1 0 1 
-0.547328 -0.522637 865 -0.188896 -0.180375 298.532 2.88533 22 9 1 0 1 
2.59018 -3.4029 865 0.893064 -1.17328 298.241 2.88536 22 11 1 0 1 
-0.607271 -2.49858 865 -0.211328 -0.869494 301.016 2.88534 22 16 1 0 1 
3.27964 -0.459219 865 1.15534 -0.161772 304.719 2.88535 22 17 1 0 1 
0.449522 -2.25189 865 0.156341 -0.783192 300.842 2.88534 22 18 1 0 1 
-1.2043 -1.81547 865 -0.419168 -0.631892 301.071 2.88534 22 19 1 0 1 
0.3616 -0.79917 865 0.125212 -0.276729 299.524 2.88533 22 21 1 0 1 
-2.4125 -2.60702 865 -0.833271 -0.900459 298.769 2.88535 22 26 1 0 1 
2.85452 -3.47059 865 1.00114 -1.21721 303.375 2.88537 22 27 1 0 1 
0.907691 -2.15078 865 0.315253 -0.746993 300.425 2.88534 22 28 1 0 1 
-5.91939 -0.246092 865 -2.04735 -0.0851163 299.179 2.8854 22 31 1 0 1 
-0.972858 -3.02876 865 -0.0479168 -0.23841 60.9868 2.88535 22 32 2469 1003 1 
2.25122 -1.56878 865 0.782065 -0.544989 300.498 2.88534 22 33 1 0 1 
-0.458637 -3.1262 865 -0.15563 -1.06081 293.521 2.88535 22 34 1 0 1 
-0.739941 -1.54049 865 -0.252461 -0.525603 295.13 2.88533 22 35 1 0 1 
-0.889699 -2.35517 865 -0.308052 -0.815461 299.5 2.88534 22 36 1 0 1 
0.162956 -0.576852 865 0.0563202 -0.199369 298.957 2.88533 22 37 1 0 1 
1.51911 -2.63659 865 0.527703 -0.915888 300.48 2.88535 22 38 1 0 1 
-1.57791 -1.50936 865 -0.54056 -0.517074 296.33 2.88534 22 39 1 0 1 
1.3685 -0.292066 865 0.475312 -0.101441 300.434 2.88533 22 43 1 0 1 
1.31256 -4.95779 865 0.457564 -1.7283 301.541 2.88538 22 44 1 0 1 
-0.490695 -0.156037 865 -0.169175 -0.0537961 298.222 2.88533 22 45 1 0 1 
3.12299 -0.0368066 865 1.09457 -0.0129002 303.171 2.88535 22 46 1 0 1 
1.26799 -0.0655871 865 0.440342 -0.0227767 300.393 2.88533 22 49 1 0 1 
