#BLTrackFile noise_measure_Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
1.59128 1.02722 1505 0.00914208 0.0169938 12.2255 5.02015 22 11 2550 1 100 
-1.62748 -3.05638 1505 -0.0615378 -0.0752127 30.3967 5.02017 22 23 3215 1 100 
0.0724231 -1.32944 1505 0.000777538 -0.00115321 1.00872 5.02015 22 56 3860 1 100 
39.3789 -44.9659 1505 0.52753 -0.587271 17.321 5.02468 22 58 1001 1 100 
48.3301 33.4788 1505 0.103537 0.0629658 2.57043 5.02468 22 120 3514 1 100 
6.59909 -8.28537 1505 0.0077442 -0.0114498 1.33511 5.02051 22 135 1962 1914 100 
-1.03771 -1.31608 1505 -0.000302233 -0.000277413 0.342319 5.02014 22 150 4881 1 100 
0.0894746 0.891694 1505 -3.99989e-05 0.000606381 0.704464 5.02014 22 172 3407 1 100 
-0.974391 -0.184673 1505 -0.048256 0.0288867 68.2801 5.02014 22 197 3587 1 100 
1.88505 -1.79595 1505 0.0134094 -0.0094625 6.3589 5.02016 22 251 4504 1 100 
-0.526613 1.60584 1505 -0.00856478 0.0492312 29.1513 5.02015 22 274 3542 1 100 
-1.91957 -0.119347 1505 -0.00416709 -0.00012171 3.73512 5.02014 22 275 3132 1 100 
0.10433 -2.79705 1505 -0.00815717 -0.179599 87.2811 5.02015 22 286 4454 1 100 
-0.108426 -1.62947 1505 -0.000238172 -0.00108727 0.93143 5.02014 22 286 4455 1 100 
-4.7361 -44.1182 1505 -0.130181 -1.26711 38.8391 5.02251 22 288 1001 1 100 
30.5462 -35.6431 1505 1.96659 -2.34226 86.9104 5.02285 22 332 1004 1 100 
-1.47242 -1.65579 1505 -0.000395044 -0.000434223 0.377608 5.02014 22 342 3011 1 100 
0.0648679 -3.12769 1505 0.00431933 -0.0368482 14.4318 5.02015 22 366 3543 1 100 
0.490526 -3.06933 1505 0.000259813 -0.0011494 0.513625 5.02015 22 373 3049 1 100 
-37.6433 -34.2122 1505 -0.0174001 -0.01616 0.611221 5.02344 22 405 1203 1 100 
-5.47348 -27.9832 1505 -0.0017612 -0.022814 0.88377 5.02149 22 484 1461 1411 100 
2.2039 -1.2341 1505 0.375399 -0.102484 211.607 5.02015 22 512 1353 1 100 
-0.189842 -0.915573 1505 -0.0266529 -0.0110315 73.2084 5.02014 22 517 3729 1 100 
-3.17789 -2.32468 1505 -0.128515 -0.0976551 51.1469 5.02016 22 532 5177 1 100 
-0.772134 -0.0677776 1505 -0.00256123 0.000365376 4.81286 5.02014 22 547 5463 1 100 
-3.2814 -9.37559 1505 -0.00540384 -0.0116111 1.27164 5.02031 22 589 3132 1345 100 
-5.99153 -6.51048 1505 -0.00893457 -0.00811176 1.28879 5.02029 22 589 3133 1345 100 
20.8795 -44.9085 1505 0.0199403 -0.0703109 1.68967 5.02818 22 593 2132 2026 100 
27.8686 -12.2661 1505 0.0425053 -0.0171892 1.39506 5.02209 22 610 2576 2437 100 
-23.703 -23.048 1505 -0.0156294 -0.0154301 0.64116 5.02249 22 618 1716 1266 100 
-10.6138 -27.4536 1505 -0.162688 -0.412945 14.4939 5.0221 22 618 1744 1266 100 
-30.5666 12.5282 1505 -0.0342661 0.0142442 1.09759 5.02218 22 618 3282 1266 100 
8.90058 -2.69957 1505 0.0269666 -0.0034627 1.47931 5.02612 22 620 1813 1744 100 
-17.1255 39.7376 1505 -0.0832489 0.194437 4.93773 5.02337 22 620 2410 1496 100 
-4.09008 19.3957 1505 -0.0262209 0.100016 5.24097 5.02087 22 620 3652 1 100 
-24.3984 -39.7154 1505 -0.0808521 -0.131628 4.37708 5.02286 22 621 1002 1 100 
15.3475 -1.43444 1505 0.0116323 -0.000826549 0.737593 5.02058 22 623 2184 1029 100 
17.4484 35.1178 1505 0.0373351 0.152576 4.62882 5.02498 22 636 1031 1025 100 
1.79556 -1.60549 1505 0.00158961 -0.00148284 1.12546 5.02015 22 702 3713 1 100 
-1.1282 -0.819404 1505 -0.0509768 -0.0277629 67.1312 5.02014 22 723 2833 1 100 
34.038 12.0895 1505 0.0467429 0.0310793 1.91731 5.02248 22 739 2017 1603 100 
1.19286 1.8372 1505 0.0657923 0.111128 64.8878 5.02015 22 749 4581 1 100 
-8.71431 1.46685 1505 -0.0268551 0.00380751 3.18301 5.02029 22 753 3532 1371 100 
1.56859 -0.360634 1505 0.00294227 -4.40071e-05 2.42511 5.02014 22 760 3035 1 100 
-2.68841 -0.156685 1505 -0.0181816 0.0020448 7.80467 5.02015 22 763 3769 1 100 
1.01339 -1.93794 1505 0.0468064 -0.0816433 64.3867 5.02014 22 793 5042 1 100 
2.0969 -1.45933 1505 0.00709873 -0.0040682 3.30049 5.02016 22 805 6012 1 100 
0.160174 -2.64777 1505 0.0144659 -0.151467 75.6687 5.02015 22 816 3295 1 100 
2.15174 -0.638982 1505 0.00373768 -0.000631046 1.97105 5.02015 22 832 3038 1 100 
47.9561 -16.4235 1505 0.0274991 -0.00966684 0.764193 5.02332 22 835 1001 1 100 
1.85753 -1.08422 1505 0.0508257 -0.0108115 34.3105 5.02015 22 876 3565 1 100 
0.346991 1.4518 1505 0.0122326 0.0601431 37.1476 5.02015 22 876 3566 1 100 
4.59813 -0.622619 1505 0.01379 -0.000778775 3.50609 5.02018 22 882 1895 1 100 
-5.2928 -0.815074 1505 -0.00553428 -0.000665172 1.15983 5.0202 22 885 5064 1 100 
-29.7101 -41.7587 1505 -0.159587 -0.221334 6.95268 5.02351 22 891 2636 1 100 
-1.96769 -2.34302 1505 -0.00444449 -0.00451889 2.46868 5.02015 22 903 3832 1 100 
-19.1866 -1.11014 1505 -0.19215 -0.00125528 9.53148 5.0208 22 919 1816 1660 100 
5.17598 14.618 1505 0.0212066 0.0711889 4.56205 5.02058 22 919 1986 1002 100 
3.38539 -1.31999 1505 0.0401535 -0.0163484 14.7761 5.02016 22 935 4712 1 100 
-22.8484 -0.197906 1505 -0.0609587 0.000977647 2.60564 5.0211 22 942 1971 1074 100 
27.134 -45.2372 1505 0.0142622 -0.0235497 0.686521 5.02366 22 944 1001 1 100 
-0.936738 4.34621 1505 -0.0985915 0.408174 101.916 5.02018 22 959 5839 1 100 
2.54495 2.61322 1505 0.000334124 0.000401878 0.166403 5.02016 22 966 2538 1 100 
-3.60718 -0.474369 1505 -0.0323517 -0.000261346 10.7852 5.02016 22 977 4021 1 100 
0.301648 -1.56035 1505 0.00584002 -0.0583462 69.0303 5.02014 22 986 3066 1 100 
-48.8648 -22.2563 1505 -0.17189 -0.068865 4.01454 5.02877 22 987 1810 1809 100 
-20.7766 -47.2807 1505 -0.0730125 -0.170882 4.74658 5.02349 22 1010 1001 1 100 
1.1377 -1.69998 1505 0.00145704 -0.00232244 2.0373 5.02014 22 1023 4275 1 100 
-37.5773 7.83154 1505 -0.245317 0.0567125 6.24618 5.02276 22 1027 1260 1018 100 
0.595203 -2.03449 1505 0.000542863 -0.00405198 2.3484 5.02015 22 1027 1361 1 100 
-2.64239 1.71523 1505 -0.38726 0.279915 173.552 5.02016 22 1029 2654 1 100 
-1.19709 -45.2193 1505 -0.0392239 -2.17099 64.5775 5.02262 22 1040 1001 1 100 
