#BLTrackFile noise_measure_Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
1.59099 1.02772 1505 0.0091384 0.0169968 12.2243 5.02015 22 11 1002 1 100 
-1.62739 -3.05485 1505 -0.061545 -0.0751886 30.4013 5.02017 22 23 1002 1 100 
0.071092 -1.32865 1505 0.000776571 -0.00115269 1.00879 5.02015 22 56 1001 1 100 
39.367 -44.9569 1505 0.52746 -0.587249 17.3238 5.02468 22 58 1001 1 100 
-1.03642 -1.31702 1505 -0.000301925 -0.000277684 0.342352 5.02014 22 150 1001 1 100 
0.0896116 0.891382 1505 -3.99262e-05 0.000606234 0.704488 5.02014 22 172 1002 1 100 
-0.975412 -0.186293 1505 -0.0483208 0.0288093 68.2967 5.02014 22 197 1001 1 100 
1.88298 -1.79473 1505 0.0134014 -0.00945799 6.35983 5.02016 22 251 1002 1 100 
-0.522115 1.60576 1505 -0.00846661 0.0492402 29.1577 5.02015 22 274 1001 1 100 
-1.91946 -0.118794 1505 -0.00416697 -0.00012014 3.73528 5.02014 22 275 1001 1 100 
0.103826 -2.7962 1505 -0.00819293 -0.179593 87.3054 5.02015 22 286 1002 1 100 
-4.73529 -44.1381 1505 -0.130099 -1.26713 38.8219 5.02251 22 288 1001 1 100 
30.5534 -35.6528 1505 1.96658 -2.34233 86.8891 5.02286 22 332 1004 1 100 
-1.4723 -1.65573 1505 -0.000395017 -0.000434216 0.377616 5.02014 22 342 1003 1 100 
0.0646702 -3.1269 1505 0.00431754 -0.0368428 14.4331 5.02015 22 366 1003 1 100 
0.490044 -3.06909 1505 0.000259636 -0.00114935 0.513647 5.02015 22 373 1003 1 100 
-37.6594 -34.2164 1505 -0.0174063 -0.0161608 0.611176 5.02344 22 405 1001 1 100 
2.20307 -1.2349 1505 0.375354 -0.102636 211.657 5.02015 22 512 1001 1 100 
-0.18953 -0.916892 1505 -0.0266415 -0.0111078 73.2253 5.02014 22 517 1002 1 100 
-3.17649 -2.32364 1505 -0.128496 -0.0976415 51.161 5.02016 22 532 1001 1 100 
-0.771855 -0.0681751 1505 -0.00256065 0.000363981 4.8137 5.02014 22 547 1001 1 100 
1.79526 -1.60468 1505 0.00158955 -0.00148232 1.12559 5.02015 22 702 1001 1 100 
-1.12816 -0.819548 1505 -0.05098 -0.0277732 67.1381 5.02014 22 723 1003 1 100 
1.19234 1.8355 1505 0.0657843 0.111073 64.9052 5.02015 22 749 1001 1 100 
1.56846 -0.360906 1505 0.00294224 -4.45125e-05 2.42528 5.02014 22 760 1003 1 100 
-2.68711 -0.15721 1505 -0.0181763 0.00204195 7.80574 5.02015 22 763 1006 1 100 
1.013 -1.93811 1505 0.046801 -0.0816755 64.4054 5.02014 22 793 1001 1 100 
2.0949 -1.4582 1505 0.00709511 -0.00406617 3.30116 5.02016 22 805 1002 1 100 
