#BLTrackFile gamma_profile_Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
55.3964 -63.5052 865 0.288019 -0.331129 3.96701 2.9009 22 3 2677 2670 1 
52.9091 -73.5107 865 0.287066 -0.40163 4.19763 2.90308 22 4 1626 1572 1 
51.1519 -71.8044 865 0.0488055 -0.069004 0.738283 2.90215 22 4 1627 1572 1 
-1.01146 -0.279967 865 -0.352635 -0.0976078 301.574 2.88533 22 6 1 0 1 
69.4861 -32.406 865 0.323485 -0.15414 3.61825 2.898 22 7 2038 1826 1 
-0.547328 -0.522637 865 -0.188896 -0.180375 298.532 2.88533 22 9 1 0 1 
-0.607271 -2.49858 865 -0.211328 -0.869494 301.016 2.88534 22 16 1 0 1 
-16.943 -23.2417 865 -0.0637023 -0.079452 2.01926 2.88797 22 17 1023 1022 1 
43.5213 -24.7892 865 0.16944 -0.0993983 2.36226 2.89222 22 17 1026 1022 1 
19.9686 5.38305 865 0.384141 0.111634 12.0231 2.88643 22 17 1072 1022 1 
52.6467 8.48417 865 0.383879 0.0638759 4.38984 2.89304 22 17 1073 1022 1 
62.5453 10.9454 865 0.419317 0.0753311 4.02246 2.89633 22 17 1074 1022 1 
28.1897 21.2759 865 0.0555353 0.0438512 1.20929 2.88871 22 17 1126 1022 1 
0.449522 -2.25189 865 0.156341 -0.783192 300.842 2.88534 22 18 1 0 1 
-1.2043 -1.81547 865 -0.419168 -0.631892 301.071 2.88534 22 19 1 0 1 
0.3616 -0.79917 865 0.125212 -0.276729 299.524 2.88533 22 21 1 0 1 
-68.8651 -51.6617 865 -3.20646 -2.43681 28.9485 2.9052 22 26 1114 1001 1 
-35.4932 34.8812 865 -0.102295 0.106762 1.80446 2.89221 22 26 1202 1001 1 
-65.0287 59.7837 865 -0.0765895 0.0725242 0.69327 2.90982 22 26 2571 2449 1 
-8.45866 -1.28112 865 -0.00836312 -0.000458381 0.615603 2.88554 22 27 3102 1967 1 
0.907691 -2.15078 865 0.315253 -0.746993 300.425 2.88534 22 28 1 0 1 
-23.5779 -64.1987 865 -0.0997855 -0.274532 3.27616 2.89553 22 30 2037 1001 1 
3.14916 -2.75832 865 0.0526568 -0.0283509 8.90566 2.88554 22 31 1207 1001 1 
2.25122 -1.56878 865 0.782065 -0.544989 300.498 2.88534 22 33 1 0 1 
3.03022 13.8945 865 0.00125266 0.00588543 0.233251 2.88599 22 34 1002 1001 1 
12.747 -1.44835 865 0.0406263 -0.00137248 1.85711 2.8858 22 34 1079 1076 1 
-42.7988 -7.63173 865 -1.64371 -0.254377 22.7189 2.8906 22 34 1104 1080 1 
-69.7977 -22.2324 865 -0.459184 -0.139857 3.8832 2.90029 22 34 1107 1080 1 
-57.8833 -24.6987 865 -0.483977 -0.198556 4.93817 2.89633 22 34 1108 1080 1 
1.22513 -15.8124 865 0.011568 -0.125364 4.99111 2.88596 22 34 1246 1080 1 
-0.739941 -1.54049 865 -0.252461 -0.525603 295.13 2.88533 22 35 1 0 1 
-0.889699 -2.35517 865 -0.308052 -0.815461 299.5 2.88534 22 36 1 0 1 
0.162956 -0.576852 865 0.0563202 -0.199369 298.957 2.88533 22 37 1 0 1 
1.51911 -2.63659 865 0.527703 -0.915888 300.48 2.88535 22 38 1 0 1 
-1.57791 -1.50936 865 -0.54056 -0.517074 296.33 2.88534 22 39 1 0 1 
1.3685 -0.292066 865 0.475312 -0.101441 300.434 2.88533 22 43 1 0 1 
-0.490695 -0.156037 865 -0.169175 -0.0537961 298.222 2.88533 22 45 1 0 1 
3.12299 -0.0368066 865 1.09457 -0.0129002 303.171 2.88535 22 46 1 0 1 
1.26799 -0.0655871 865 0.440342 -0.0227767 300.393 2.88533 22 49 1 0 1 
52.0405 -29.7392 865 0.0253338 -0.0149738 0.398951 2.89337 22 51 1705 1702 1 
