#BLTrackFile noise_measure_Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-1.43241 -0.396485 1225 -0.352635 -0.0976078 301.574 4.08616 22 6 1 0 1 
-0.775117 -0.740151 1225 -0.188896 -0.180375 298.532 4.08616 22 9 1 0 1 
-0.860008 -3.53845 1225 -0.211328 -0.869494 301.016 4.08618 22 16 1 0 1 
-28.3 -37.4066 1225 -0.0637023 -0.079452 2.01926 4.09033 22 17 1023 1022 1 
31.4707 8.72565 1225 0.384141 0.111634 12.0231 4.08792 22 17 1072 1022 1 
44.7223 34.3302 1225 0.0555353 0.0438512 1.20929 4.09159 22 17 1126 1022 1 
0.636606 -3.18909 1225 0.156341 -0.783192 300.842 4.08617 22 18 1 0 1 
-1.70551 -2.57104 1225 -0.419168 -0.631892 301.071 4.08617 22 19 1 0 1 
0.512093 -1.13177 1225 0.125212 -0.276729 299.524 4.08616 22 21 1 0 1 
-13.3494 -1.54918 1225 -0.00836312 -0.000458381 0.615603 4.08649 22 27 3102 1967 1 
1.28546 -3.0459 1225 0.315253 -0.746993 300.425 4.08617 22 28 1 0 1 
5.27774 -3.90437 1225 0.0526568 -0.0283509 8.90566 4.08639 22 31 1207 1001 1 
3.18814 -2.22168 1225 0.782065 -0.544989 300.498 4.08618 22 33 1 0 1 
4.96358 22.9781 1225 0.00125266 0.00588543 0.233251 4.08722 22 34 1002 1001 1 
20.6224 -1.71441 1225 0.0406263 -0.00137248 1.85711 4.08692 22 34 1079 1076 1 
2.05951 -24.8547 1225 0.011568 -0.125364 4.99111 4.08717 22 34 1246 1080 1 
-1.04789 -2.18162 1225 -0.252461 -0.525603 295.13 4.08617 22 35 1 0 1 
-1.25998 -3.33536 1225 -0.308052 -0.815461 299.5 4.08618 22 36 1 0 1 
0.230776 -0.81693 1225 0.0563202 -0.199369 298.957 4.08616 22 37 1 0 1 
2.15134 -3.7339 1225 0.527703 -0.915888 300.48 4.08618 22 38 1 0 1 
-2.23462 -2.13753 1225 -0.54056 -0.517074 296.33 4.08617 22 39 1 0 1 
1.93805 -0.413619 1225 0.475312 -0.101441 300.434 4.08616 22 43 1 0 1 
-0.694915 -0.220977 1225 -0.169175 -0.0537961 298.222 4.08616 22 45 1 0 1 
4.42273 -0.052125 1225 1.09457 -0.0129002 303.171 4.08619 22 46 1 0 1 
1.79571 -0.0928835 1225 0.440342 -0.0227767 300.393 4.08616 22 49 1 0 1 
-4.36844 -0.042983 1225 -1.0548 -0.0103786 295.786 4.08618 22 52 1 0 1 
-2.99351 -1.57131 1225 -0.735804 -0.386228 301.104 4.08617 22 54 1 0 1 
32.0619 18.1575 1225 0.200915 0.115511 5.81631 4.08868 22 58 1002 1001 1 
-1.55489 28.8796 1225 -0.000149597 0.00534343 0.171651 4.0877 22 58 1003 1001 1 
10.2273 16.7521 1225 0.22695 0.361587 19.6874 4.08691 22 58 1004 1001 1 
10.5107 10.6837 1225 0.0031445 0.00318564 0.265899 4.08661 22 58 1005 1001 1 
18.8583 10.9678 1225 0.110445 0.0658041 5.35886 4.08708 22 58 1006 1001 1 
-1.75444 -2.85121 1225 -0.428272 -0.696004 299.032 4.08617 22 62 1 0 1 
0.768243 -1.56486 1225 0.187263 -0.381442 298.599 4.08616 22 65 1 0 1 
-1.06311 -1.22339 1225 -0.261817 -0.301292 301.687 4.08616 22 66 1 0 1 
2.99117 -0.733798 1225 0.736709 -0.180731 301.711 4.08617 22 70 1 0 1 
0.33498 -0.0781036 1225 0.0827802 -0.0193009 302.721 4.08616 22 73 1 0 1 
-2.01601 -2.7613 1225 -0.492289 -0.674282 299.132 4.08617 22 74 1 0 1 
-0.0778682 -1.39779 1225 -0.0188678 -0.338691 296.823 4.08616 22 75 1 0 1 
-43.527 32.0213 1225 -0.0348661 0.0263487 0.773745 4.09134 22 76 1472 1361 1 
-23.9365 11.1666 1225 -0.0070174 0.00351337 0.283386 4.08742 22 76 1533 1001 1 
-38.3125 14.3702 1225 -0.0680158 0.0270196 1.72445 4.08911 22 76 1534 1001 1 
5.1466 3.56767 1225 0.0413766 0.0388097 8.44353 4.08624 22 76 2011 1001 1 
36.8444 42.4229 1225 0.121813 0.13514 3.10954 4.0921 22 81 2142 1978 1 
-4.28931 13.1754 1225 -0.0375502 0.141765 9.84932 4.08652 22 86 1189 1001 1 
33.9397 22.1298 1225 0.329853 0.219323 9.29242 4.08911 22 86 1190 1001 1 
35.2591 3.39886 1225 0.140516 0.0165621 3.81119 4.0884 22 86 1259 1191 1 
7.62942 0.198735 1225 0.00869796 0.00108491 1.03007 4.08628 22 86 1260 1191 1 
-0.0844485 -3.18878 1225 -0.0207963 -0.785268 301.668 4.08617 22 88 1 0 1 
-2.6092 -0.337327 1225 -0.649004 -0.0839057 304.703 4.08617 22 90 1 0 1 
1.64334 -0.407963 1225 0.400576 -0.0994437 298.602 4.08616 22 92 1 0 1 
12.7769 21.0046 1225 1.19859 1.90607 86.3636 4.08727 22 93 1642 1001 1 
