,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
2.00E-02,2.13E+27,1.92E+27,1.59E+27,1.30E+27,1.07E+27,8.51E+26,6.95E+26,5.65E+26,4.64E+26,3.81E+26
4.00E-02,1.43E+27,1.28E+27,1.06E+27,8.73E+26,7.15E+26,5.87E+26,4.73E+26,3.94E+26,3.34E+26,2.82E+26
5.50E-02,4.73E+26,4.24E+26,3.51E+26,2.99E+26,2.50E+26,2.08E+26,1.73E+26,1.50E+26,1.26E+26,1.10E+26
6.00E-02,4.32E+26,4.05E+26,3.55E+26,3.02E+26,2.56E+26,2.13E+26,1.83E+26,1.54E+26,1.29E+26,1.10E+26
6.50E-02,4.42E+26,3.94E+26,3.41E+26,2.93E+26,2.50E+26,2.14E+26,1.86E+26,1.56E+26,1.33E+26,1.16E+26
7.00E-02,4.64E+26,4.29E+26,3.78E+26,3.33E+26,2.75E+26,2.32E+26,1.97E+26,1.66E+26,1.40E+26,1.17E+26
7.50E-02,5.59E+26,5.27E+26,4.51E+26,3.87E+26,3.21E+26,2.72E+26,2.36E+26,2.03E+26,1.78E+26,1.53E+26
8.00E-02,6.33E+26,5.88E+26,5.29E+26,4.60E+26,3.93E+26,3.36E+26,2.84E+26,2.40E+26,2.10E+26,1.83E+26
8.50E-02,6.58E+26,6.23E+26,5.64E+26,5.06E+26,4.45E+26,3.83E+26,3.28E+26,2.82E+26,2.47E+26,2.14E+26
9.00E-02,5.93E+26,5.74E+26,5.13E+26,4.59E+26,4.01E+26,3.58E+26,3.21E+26,2.76E+26,2.39E+26,2.10E+26
9.50E-02,5.06E+26,4.91E+26,4.53E+26,4.07E+26,3.62E+26,3.23E+26,2.75E+26,2.43E+26,2.12E+26,1.86E+26
1.00E-01,4.61E+26,4.29E+26,3.94E+26,3.38E+26,2.99E+26,2.60E+26,2.26E+26,1.99E+26,1.71E+26,1.51E+26
1.05E-01,4.45E+26,3.98E+26,3.52E+26,2.99E+26,2.59E+26,2.22E+26,1.90E+26,1.65E+26,1.44E+26,1.23E+26
1.10E-01,4.40E+26,3.97E+26,3.40E+26,2.84E+26,2.38E+26,2.00E+26,1.74E+26,1.52E+26,1.29E+26,1.14E+26
1.15E-01,4.55E+26,4.01E+26,3.31E+26,2.79E+26,2.37E+26,2.03E+26,1.75E+26,1.50E+26,1.29E+26,1.12E+26
1.20E-01,4.62E+26,4.12E+26,3.46E+26,2.85E+26,2.38E+26,2.01E+26,1.68E+26,1.44E+26,1.26E+26,1.06E+26
1.25E-01,4.96E+26,4.30E+26,3.65E+26,2.99E+26,2.47E+26,2.08E+26,1.73E+26,1.47E+26,1.27E+26,1.11E+26
1.30E-01,5.16E+26,4.48E+26,3.72E+26,3.13E+26,2.60E+26,2.23E+26,1.80E+26,1.52E+26,1.28E+26,1.10E+26
1.35E-01,5.15E+26,4.51E+26,3.74E+26,3.04E+26,2.52E+26,2.17E+26,1.80E+26,1.49E+26,1.27E+26,1.10E+26
1.40E-01,5.24E+26,4.45E+26,3.71E+26,3.11E+26,2.55E+26,2.07E+26,1.74E+26,1.48E+26,1.27E+26,1.10E+26
1.45E-01,5.18E+26,4.39E+26,3.57E+26,2.93E+26,2.37E+26,2.00E+26,1.70E+26,1.45E+26,1.27E+26,1.12E+26
1.50E-01,4.88E+26,4.24E+26,3.50E+26,2.94E+26,2.47E+26,2.09E+26,1.78E+26,1.53E+26,1.29E+26,1.12E+26
1.55E-01,4.65E+26,3.97E+26,3.27E+26,2.73E+26,2.28E+26,1.99E+26,1.72E+26,1.46E+26,1.28E+26,1.12E+26
1.60E-01,4.34E+26,3.82E+26,3.15E+26,2.65E+26,2.22E+26,1.89E+26,1.56E+26,1.32E+26,1.15E+26,9.70E+25
1.65E-01,3.89E+26,3.38E+26,2.86E+26,2.40E+26,2.02E+26,1.74E+26,1.51E+26,1.31E+26,1.12E+26,9.90E+25
1.70E-01,3.59E+26,3.11E+26,2.67E+26,2.26E+26,1.96E+26,1.64E+26,1.43E+26,1.22E+26,1.02E+26,8.80E+25
