angle (deg), positron yield / pC, positron yield error / pC
0, 2.9401044896536645e-05, 6.022691692318579e-07
10, 2.9478062905017304e-05, 1.1693810355013335e-06
20, 2.9917602079077947e-05, 1.704025953404823e-06
30, 3.1688637126308884e-05, 1.5910877722768417e-06
40, 3.095132477620077e-05, 9.649073340837406e-07
50, 3.1652743278232495e-05, 1.560887337676232e-06
60, 3.092111180217145e-05, 9.056016943044599e-07
70, 2.9198419332817846e-05, 1.7855158691805137e-07
80, 3.013448968899297e-05, 2.2294809889143455e-06
90, 3.1901088350818643e-05, 1.2679046178466004e-06
